"","runif(1000, min = 0, max = 0.4)"
"1",0.388008772302419
"2",0.0299163013696671
"3",0.339398203976452
"4",0.34470447935164
"5",0.00255693048238754
"6",0.149411862995476
"7",0.0881536401808262
"8",0.06699542645365
"9",0.325972178671509
"10",0.10416779126972
"11",0.305120600573719
"12",0.051397396530956
"13",0.241490983776748
"14",0.0180257268249989
"15",0.290380143746734
"16",0.185713248047978
"17",0.0153943350538611
"18",0.0791621014475822
"19",0.132729966565967
"20",0.184006602410227
"21",0.0974928507581353
"22",0.259155921451747
"23",0.00138566298410296
"24",0.369973571877927
"25",0.313933903258294
"26",0.0542321253567934
"27",0.182527251262218
"28",0.0618005937896669
"29",0.386252905894071
"30",0.229943178314716
"31",0.0223162381909788
"32",0.356549899559468
"33",0.0744269917719066
"34",0.0335973960347474
"35",0.309697922319174
"36",0.160017487034202
"37",0.376400194503367
"38",0.324964856170118
"39",0.0438561481423676
"40",0.314478483330458
"41",0.352439427282661
"42",0.255386264901608
"43",0.0493718709796667
"44",0.156430610734969
"45",0.354718345496804
"46",0.0426638792268932
"47",0.361568074766547
"48",0.0146644753403962
"49",0.0332930742762983
"50",0.277857688814402
"51",0.0385451097041369
"52",0.338685798365623
"53",0.0903092703782022
"54",0.0859046524390578
"55",0.170243893004954
"56",0.0831528620794416
"57",0.0276351370848715
"58",0.230007952451706
"59",0.349165936093777
"60",0.118220621068031
"61",0.395986181590706
"62",0.309233297780156
"63",0.397306601144373
"64",0.269971072860062
"65",0.095502917189151
"66",0.348399761226028
"67",0.162367412447929
"68",0.131287184543908
"69",0.095291417837143
"70",0.103740935306996
"71",0.279228389170021
"72",0.123474331852049
"73",0.0917943470180035
"74",0.0186874222010374
"75",0.244241947680712
"76",0.286063581425697
"77",0.147196715977043
"78",0.0479223934933543
"79",0.244861113186926
"80",0.0411557828076184
"81",0.178269191365689
"82",0.0331310676410794
"83",0.327337908092886
"84",0.160622841306031
"85",0.122902815695852
"86",0.246650409884751
"87",0.105532098095864
"88",0.362802131846547
"89",0.0804770034737885
"90",0.281565376464278
"91",0.156218827050179
"92",0.36345711061731
"93",0.383406009245664
"94",0.0437817484140396
"95",0.181109946314245
"96",0.234831603523344
"97",0.311855302751064
"98",0.231699948199093
"99",0.157159595377743
"100",0.138372686039656
"101",0.287939102202654
"102",0.0179189925082028
"103",0.378009371645749
"104",0.16807263949886
"105",0.365043151192367
"106",0.169268239382654
"107",0.368843655567616
"108",0.306165239401162
"109",0.25947727560997
"110",0.146327597461641
"111",0.197203956265003
"112",0.0472133214585483
"113",0.285126330889761
"114",0.346302184462547
"115",0.258744875341654
"116",0.104613224882632
"117",0.387924286257476
"118",0.0571874505840242
"119",0.387909381557256
"120",0.0132088546641171
"121",0.0516292375512421
"122",0.296781098190695
"123",0.00952320443466306
"124",0.324807173199952
